id,qid1,qid2,question1,question2,is_duplicate
120567,238932,238933,How does the Boggart work?,What would the boggart of a boggart be?,0
324466,636476,636477,What is difference between project manager and product manager?,What are the differences between project management and business management?,0
398558,778728,778729,"What hotel in Jabalpur would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?","What hotel in Allahabad would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?",0
339914,666314,666315,What is stronger - Super Saiyan 4 or Super Saiyan God?,How does Gohan turn into Super Saiyan 2?,0
185732,366764,366765,How do I fill in Address Line 1 and Address Line 2?,How do I register desired web address?,0
383446,749820,749821,What is the procedure to join the Bomb Detection and Disposal Squad after metallurgy engineering?,Where can we get medical reports in Delhi?,0
76919,152835,152836,Is Google actually replacing Nexus with Pixel?,Why is Google replacing Nexus with Pixel?,1
62080,123460,123461,"Why did Dumbledore not throw away the potion in the basin with the locket, instead of drinking it?",Why can't Dumbledore just scoop and throw away the Emerald potion to get Voldemort's horcrux?,1
227108,447589,447590,"If the Arab societies believe the 1919/1920 borders of the Arab states are illegitimate, do they also believe the Arab states should be dissolved?",Do the Arab societies believe the 1919-1929 borders of the Arab states are illegitimate ?,1
393826,769659,769660,What are some manufacturing organizations?,What is manufacturing?,0
231677,456495,456496,How do you calculate how many 16.9 oz water bottles equal a gallon?,How many oz. are in a gallon of water?,0
164843,325855,325856,How do I enable gzip compression?,What are the best ways to enabled Gzip compression for a website?,0
309995,608540,608541,Are there any good psychologists in Jaipur for adult ADHD diagnosis?,Are there any good psychologists in Delhi for adult ADHD diagnosis?,0
391462,765143,765144,Which is the nearest local railway station to get down to reach Powai in Mumbai?,Which is the nearest railway station to reach IIT Bombay?,1
301889,592869,592870,How did Hitler come to power?,Who followed Hitler to power?,0
100356,199139,199140,Do the US Secret Service actually watch movies like Olympus Has Fallen and learn from their mistakes?,"With films like Humshakals and Himmatwala, do you think the film fraternity is actually encouraging people to download movies instead of wasting money in watching them in theatres?",0
231699,456539,456540,How can we get rid of religion and replace it with science?,How can we rid the world of religion?,0
142849,282725,282726,Why does $500 trillion rich Rothschilds are not on Forbes richest people list?,How accurate is the Forbes wealth list?,0
113292,224615,224616,Why does this “Cold War thinking” still not obsolete?,Why does “Cold War thinking” still not obsolete?,1
1813,3627,3628,Did all Waffen SS commit crimes against humanity?,What is diagtrack what is diag track?,0
329862,646887,646888,Can I delete music from my computer if backed up on an external drive & the original files in iCloud? Where do the iTunes library files reside?,How was your first trip on LSD?,0
265860,523043,523044,What are the best shared office space in Bangalore Indiranagar?,Where is the best shared office space in Bangalore Indiranagar?,1
